CDI
1.53
1.25
1.37
1.48
1.4
1.31
1.53
1.45
1.38
1.64
1.53
1.73
1.97
1.83
1.77
1.87
1.96
1.85
2.08
1.76
1.67
1.63
1.34
1.37
1.26
1.08
1.37
1.17
1.22
1.22
1.28
1.29
1.24
1.21
1.25
1.48
1.38
1.22
1.52
1.41
1.5
1.58
1.51
1.65
1.5
1.4
1.38
1.47
1.43
1.14
1.42
1.08
1.28
1.18
1.17
1.25
1.05
1.09
1.02
0.98
1.08
0.87
1.05
0.94
1.02
0.9
0.97
0.99
0.8
0.92
0.84
0.84
0.92
0.8
0.84
0.9
0.87
0.95
1.06
1.01
1.1
1.17
1
1.11
1.04
0.85
0.97
0.84
0.77
0.75
0.78
0.69
0.69
0.69
0.66
0.72
0.66
0.59
0.76
0.66
0.75
0.79
0.86
0.89
0.84
0.81
0.81
0.93
0.86
0.84
0.92
0.84
0.99
0.95
0.97
1.07
0.94
0.88
0.86
0.9
0.89
0.74
0.81
0.7
0.73
0.64
0.68
0.69
0.54
0.61
0.54
0.53
0.59
0.48
0.54
0.6
0.58
0.59
0.71
0.7
0.7
0.8
0.71
0.78
0.84
0.78
0.76
0.82
0.86
0.82
0.94
0.86
0.9
0.94
0.84
0.96
0.93
0.82
1.04
0.95
0.98
1.07
1.18
1.11
1.11
1.11
1.06
1.16
1.05
1
1.16
1
